,Date,Open,Close,High,Low,Volume,S&P500,PeRatio,PsRatio,PbRatio,EnterpriseValueRevenueRatio,EnterpriseValueEDITDARatio,BasicEPS
131,2013-11-08,18.377857,18.591429,18.611786,18.306786,279316800,1770.61,11.886,2.649,3.475,10.756,34.119,0.297
132,2013-11-11,18.571072,18.5375,18.631071,18.371786,227452400,1771.89,11.886,2.649,3.475,10.756,34.119,0.297
133,2013-11-12,18.488214,18.571787,18.71143,18.464287,204276800,1767.69,11.886,2.649,3.475,10.756,34.119,0.297
134,2013-11-13,18.5,18.593929,18.651787,18.462856,197220800,1782.0,11.886,2.649,3.475,10.756,34.119,0.297
135,2013-11-14,18.671785,18.862858,18.902857,18.638214,282419200,1790.62,11.886,2.649,3.475,10.756,34.119,0.297
136,2013-11-15,18.806429,18.749643,18.89607,18.731787,317920400,1798.18,11.886,2.649,3.475,10.756,34.119,0.297
137,2013-11-18,18.749643,18.522499,18.828215,18.507143,244944000,1791.53,11.886,2.649,3.475,10.756,34.119,0.297
138,2013-11-19,18.536785,18.555357,18.692142,18.498928,208938800,1787.87,11.886,2.649,3.475,10.756,34.119,0.297
139,2013-11-20,18.543928,18.392857,18.58643,18.368929,193916800,1781.37,11.886,2.649,3.475,10.756,34.119,0.297
140,2013-11-21,18.485714,18.612143,18.614643,18.345358,262026800,1795.85,11.886,2.649,3.475,10.756,34.119,0.297
141,2013-11-22,18.554285,18.564285,18.648571,18.518929,223725600,1804.76,11.886,2.649,3.475,10.756,34.119,0.297
142,2013-11-25,18.607857,18.705,18.781071,18.607143,229311600,1802.48,11.886,2.649,3.475,10.756,34.119,0.297
143,2013-11-26,18.718571,19.049999,19.147858,18.714287,401382800,1802.75,11.886,2.649,3.475,10.756,34.119,0.297
144,2013-11-27,19.153929,19.498571,19.5,19.049999,363448400,1807.23,11.886,2.649,3.475,10.756,34.119,0.297
145,2013-11-29,19.624287,19.859644,19.940357,19.564644,318127600,1805.81,11.886,2.649,3.475,10.756,34.119,0.297
146,2013-12-02,19.928572,19.686787,20.154642,19.672144,472544800,1800.9,11.886,2.649,3.475,10.756,34.119,0.297
147,2013-12-03,19.939285,20.225714,20.227858,19.917143,450968000,1795.15,11.886,2.649,3.475,10.756,34.119,0.297
148,2013-12-04,20.196428,20.178572,20.328215,20.029285,377809600,1792.81,11.886,2.649,3.475,10.756,34.119,0.297
149,2013-12-05,20.451786,20.282143,20.540714,20.22893,447580000,1785.03,11.886,2.649,3.475,10.756,34.119,0.297
150,2013-12-06,20.206785,20.000713,20.241072,19.984644,344352400,1805.09,11.886,2.649,3.475,10.756,34.119,0.297
151,2013-12-09,20.032143,20.229643,20.342142,20.032143,320493600,1808.37,11.886,2.649,3.475,10.756,34.119,0.297
152,2013-12-10,20.127857,20.198214,20.281429,20.042856,278269600,1802.62,11.886,2.649,3.475,10.756,34.119,0.297
153,2013-12-11,20.25,20.048571,20.391787,19.98893,359718800,1782.22,11.886,2.649,3.475,10.756,34.119,0.297
154,2013-12-12,20.076429,20.019285,20.190714,20.001072,262290000,1775.5,11.886,2.649,3.475,10.756,34.119,0.297
